Index,IssueID,Name,ResolutionStatus,AffectVersions,FixVersions
118,12712780,BOOKKEEPER-751,Fixed,"","4.3.0;4.2.3"
119,12711304,BOOKKEEPER-750,Fixed,"","4.3.0;4.2.3"
120,12706649,BOOKKEEPER-746,Fixed,"","4.3.0;4.2.3"
121,12706648,BOOKKEEPER-745,Fixed,"","4.3.0;4.2.3"
122,12706647,BOOKKEEPER-744,Fixed,"","4.3.0;4.2.3"
123,12706646,BOOKKEEPER-743,Fixed,"","4.3.0;4.2.3"
124,12706645,BOOKKEEPER-742,Fixed,"","4.3.0;4.2.3"
125,12699371,BOOKKEEPER-740,Fixed,"","4.3.0"
126,12698677,BOOKKEEPER-739,Fixed,"","4.3.0"
127,12693543,BOOKKEEPER-731,Fixed,"","4.3.0"
128,12693517,BOOKKEEPER-730,Fixed,"","4.3.0;4.2.3"
129,12693146,BOOKKEEPER-729,Fixed,"","4.3.0"
130,12693145,BOOKKEEPER-728,Fixed,"","4.3.0"
131,12693143,BOOKKEEPER-727,Fixed,"","4.3.0"
132,12693142,BOOKKEEPER-726,Fixed,"","4.3.0;4.2.3"
133,12693140,BOOKKEEPER-725,Fixed,"","4.3.0;4.2.3"
134,12692701,BOOKKEEPER-724,Fixed,"","4.3.0"
135,12690001,BOOKKEEPER-720,Fixed,"","4.3.0"
136,12689953,BOOKKEEPER-719,Fixed,"","4.3.0"
137,12686821,BOOKKEEPER-714,Fixed,"","4.3.0;4.2.3"
138,12682823,BOOKKEEPER-712,Fixed,"4.2.1","4.3.0;4.2.3"
139,12682336,BOOKKEEPER-711,Fixed,"4.2.2","4.3.0;4.2.3"
140,12680862,BOOKKEEPER-710,Fixed,"","4.3.0;4.2.3"
141,12680857,BOOKKEEPER-709,Fixed,"","4.3.0"
142,12678476,BOOKKEEPER-708,Fixed,"","4.3.0;4.2.3"
143,12676579,BOOKKEEPER-700,Fixed,"","4.3.0"
144,12676291,BOOKKEEPER-698,Fixed,"","4.3.0"
145,12674198,BOOKKEEPER-695,Fixed,"4.3.0","4.0.0;4.4.0;4.3.2"
146,12672383,BOOKKEEPER-689,Fixed,"",""
147,12672296,BOOKKEEPER-688,Fixed,"4.2.0","4.3.0;4.2.3"
148,12671252,BOOKKEEPER-686,Fixed,"4.2.0","4.3.0"
149,12668539,BOOKKEEPER-685,Fixed,"","4.2.2"
150,12668447,BOOKKEEPER-684,Fixed,"","4.2.2"
151,12668348,BOOKKEEPER-683,Fixed,"","4.2.2;4.3.0"
152,12421790,BOOKKEEPER-680,Fixed,"",""
153,12666907,BOOKKEEPER-679,Fixed,"","4.2.2"
154,12666486,BOOKKEEPER-678,Fixed,"","4.3.0"
155,12665175,BOOKKEEPER-676,Fixed,"","4.3.0"
156,12664811,BOOKKEEPER-673,Fixed,"","4.3.0;4.2.3"
157,12663381,BOOKKEEPER-671,Fixed,"4.2.1",""
158,12662526,BOOKKEEPER-669,Fixed,"","4.2.2"
159,12662079,BOOKKEEPER-668,Fixed,"4.2.1;4.3.0","4.2.2;4.3.0"
160,12662046,BOOKKEEPER-667,Fixed,"4.2.1","4.2.2;4.3.0"
161,12660378,BOOKKEEPER-664,Fixed,"4.2.1","4.2.2;4.3.0"
162,12660121,BOOKKEEPER-663,Fixed,"","4.2.2;4.3.0"
163,12659572,BOOKKEEPER-660,Fixed,"4.2.0","4.2.2"
164,12658945,BOOKKEEPER-654,Fixed,"4.2.0","4.3.0"
165,12658878,BOOKKEEPER-652,Fixed,"","4.2.2;4.3.0"
166,12658068,BOOKKEEPER-649,Fixed,"","4.2.2;4.3.0"
167,12656558,BOOKKEEPER-646,Fixed,"4.2.1","4.2.2;4.3.0"
168,12656402,BOOKKEEPER-642,Fixed,"","4.2.2;4.3.0"
169,12655826,BOOKKEEPER-641,Fixed,"4.2.1","4.3.0"
170,12655253,BOOKKEEPER-638,Fixed,"4.3.0","4.3.0"
171,12654976,BOOKKEEPER-636,Fixed,"4.2.1;4.3.0","4.2.2;4.3.0"
172,12654934,BOOKKEEPER-635,Fixed,"","4.2.2;4.3.0"
173,12654694,BOOKKEEPER-633,Fixed,"4.3.0","4.3.0"
174,12653903,BOOKKEEPER-632,Fixed,"4.2.1;4.3.0","4.2.2;4.3.0"
175,12652808,BOOKKEEPER-626,Fixed,"4.2.1;4.3.0","4.2.2;4.3.0"
176,12652803,BOOKKEEPER-625,Fixed,"4.2.1","4.2.2"
177,12652329,BOOKKEEPER-624,Fixed,"4.2.1","4.2.2;4.3.0"
178,12652319,BOOKKEEPER-623,Fixed,"4.2.1;4.3.0","4.2.2;4.3.0"
179,12651649,BOOKKEEPER-621,Fixed,"4.2.1","4.2.2"
180,12651610,BOOKKEEPER-620,Fixed,"","4.2.2;4.3.0"
181,12651377,BOOKKEEPER-619,Fixed,"4.2.1","4.2.2;4.3.0"
182,12650616,BOOKKEEPER-617,Fixed,"","4.3.0"
183,12646991,BOOKKEEPER-610,Fixed,"","4.3.0"
184,12643866,BOOKKEEPER-607,Fixed,"4.2.0;4.2.1","4.2.2;4.3.0"
185,12641399,BOOKKEEPER-604,Fixed,"","4.2.2;4.3.0"
186,12641289,BOOKKEEPER-603,Fixed,"4.2.0;4.2.1","4.2.2;4.3.0"
187,12641105,BOOKKEEPER-602,Fixed,"4.2.0;4.2.1","4.3.0;4.2.3"
188,12641095,BOOKKEEPER-601,Fixed,"4.2.0;4.2.1","4.2.2;4.3.0"
189,12641093,BOOKKEEPER-600,Fixed,"4.2.0;4.2.1","4.2.2;4.3.0"
190,12640923,BOOKKEEPER-599,Fixed,"4.2.0;4.2.1","4.3.0"
191,12640805,BOOKKEEPER-598,Fixed,"4.2.1","4.2.2;4.3.0"
192,12640281,BOOKKEEPER-597,Fixed,"","4.3.0"
