Index,IssueID,Name,InjectVersion,OpeningVersion,AffectedVersions,FixVersions
307,12506220,OPENJPA-1993,1.0.0,1.2.2,"1.0.0;1.0.1;1.0.2;1.0.3;1.2.0;1.2.1;1.2.2;2.0.0;2.0.1;1.0.4;2.1.0","2.2.0;1.2.3;2.3.0;3.1.0"
308,12506151,OPENJPA-1992,2.1.0,1.2.2,"2.1.0","2.2.0"
309,12505434,OPENJPA-1989,2.1.0,1.2.2,"2.1.0;2.2.0","2.1.1;2.2.0"
310,12505432,OPENJPA-1988,2.2.0,1.2.2,"2.2.0;2.3.0","2.4.0"
311,12505419,OPENJPA-1987,2.2.0,1.2.2,"2.2.0","2.2.0"
312,12505332,OPENJPA-1986,2.0.1,1.2.2,"2.0.1;2.1.0;2.2.0","2.1.1;2.2.0"
313,12505188,OPENJPA-1985,2.1.0,1.2.2,"2.1.0","2.1.1;2.2.0"
314,12505086,OPENJPA-1984,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.2.0"
315,12504706,OPENJPA-1983,2.1.0,1.2.2,"2.1.0;2.2.0","2.2.0"
316,12504273,OPENJPA-1981,2.1.0,1.2.2,"2.1.0","2.2.0"
317,12504246,OPENJPA-1980,2.1.0,1.2.2,"2.1.0","2.2.0"
318,12504099,OPENJPA-1979,2.0.0-M1,1.2.2,"2.0.0-M1;2.0.0","2.3.0"
319,12503677,OPENJPA-1975,2.0.1,1.2.2,"2.0.1;2.1.0","2.2.0"
320,12503268,OPENJPA-1974,2.1.0,1.2.2,"2.1.0;2.2.0","2.2.0"
321,12503044,OPENJPA-1970,1.1.0,1.2.2,"1.1.0","1.2.0"
322,12502905,OPENJPA-1969,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.1.1;2.2.0"
323,12502735,OPENJPA-1968,2.1.0,1.2.2,"2.1.0;2.1.1;2.2.0","2.1.1;2.2.0"
324,12502386,OPENJPA-1965,2.0.0,1.2.2,"2.0.0;2.1.0;2.2.0","2.1.1;2.2.0"
325,12501521,OPENJPA-1960,2.1.0,1.2.2,"2.1.0;2.2.0","2.2.0"
326,12501261,OPENJPA-1959,1.2.2,1.2.2,"1.2.2;2.0.1;2.1.0;2.2.0","2.1.1;2.2.0"
327,12501250,OPENJPA-1958,1.2.2,1.2.2,"1.2.2;2.0.1;2.1.0;2.2.0","2.1.1;2.2.0"
328,12500828,OPENJPA-1957,1.2.2,1.2.2,"1.2.2;2.0.1;2.1.0","2.1.1;2.2.0;1.2.3"
